Nr.,Autorius,Pavadinimas,Originalo pavadinimas,Kalba,Leidykla,Metai,Žanras,Serija,Puslapiai,ISBN,Lentynos vieta,Pastabos,Teminė linija,Subgrupė,ID,Statusas,Dabartinis laikytojas,Būklė,Kaina (EUR),Įsigijimo data,Įsigijimo šaltinis,Tiražas,Originalo metai,Foto,Atnaujinta,Kas atnaujino,Patalpa,Lentyna
2407.0,,"Visuotinė lietuvių enciklopedija, T. II: Arktis–Beketas",,LT,Mokslo ir enciklopedijų leidybos institutas,2002.0,,,,9785420014998.0,,,,,K02417,Lentynoje,,,,,,,,,2026-09-16 13:02:00,g@cool.lt,Fabula,25.0
2408.0,,"Visuotinė lietuvių enciklopedija, T. XXII: Skobelcyn–Šalavijas",,LT,Mokslo ir enciklopedijų leidybos centras,2012.0,,,,9785420017159.0,,,,,K02418,Lentynoje,,,,,,,,,2026-09-16 13:02:00,g@cool.lt,Fabula,25.0
2409.0,,"Visuotinė lietuvių enciklopedija, T. XXIII: Šalcinis–Toliušis",,LT,Mokslo ir enciklopedijų leidybos centras,2013.0,,,,9785420017234.0,,,,,K02419,Lentynoje,,,,,,,,,2026-09-16 13:02:00,g@cool.lt,Fabula,25.0
2410.0,,"Visuotinė lietuvių enciklopedija, T. XXIV: Toljatis–Venizelas",,LT,Mokslo ir enciklopedijų leidybos centras,2014.0,,,,9785420017333.0,,knygos.lt nurodo 2015 m.; Vikipedijos tomų sąraše – 2014 m.,,,K02420,Lentynoje,,,,,,,,,2026-09-16 13:02:00,g@cool.lt,Fabula,25.0
2411.0,,"Visuotinė lietuvių enciklopedija, T. XXV: Venk–Žvo",,LT,Mokslo ir enciklopedijų leidybos centras,2014.0,,,,9785420017418.0,,PATIKSLINTI,,,K02421,Lentynoje,,,,,,,,,2026-09-16 13:02:00,g@cool.lt,Fabula,25.0
2412.0,,(neįskaityta nugarėlė),,EN,,,DESIGN,,,,,"nugarėlė neįskaitoma · už Office Design pakišta knyga, nugarėlės nesimato · PATIKSLINTI",,,K02422,Lentynoje,,,,,,,,,2026-09-16 13:13:00,g@cool.lt,Fabula,1.0
2413.0,,(neįskaityta nugarėlė),,EN,,,DESIGN,,,,,nugarėlė neįskaitoma · tamsiai pilka audeklinė nugarėlė be teksto · PATIKSLINTI,,,K02423,Lentynoje,,,,,,,,,2026-09-16 13:13:00,g@cool.lt,Fabula,2.0
2414.0,,(neįskaityta nugarėlė),,EN,,,DESIGN,,,,,nugarėlė neįskaitoma · juoda lygi nugarėlė be teksto · PATIKSLINTI,,,K02424,Lentynoje,,,,,,,,,2026-09-16 13:13:00,g@cool.lt,Fabula,2.0
2415.0,,(neįskaityta nugarėlė),,EN,,,DESIGN,,,,,nugarėlė neįskaitoma · juoda lygi nugarėlė be teksto · PATIKSLINTI,,,K02425,Lentynoje,,,,,,,,,2026-09-16 13:13:00,g@cool.lt,Fabula,2.0
2416.0,,(neįskaityta nugarėlė),,EN,,,ADVERTISING,,,,,"nugarėlė neįskaitoma · juoda nugarėlė be teksto, greičiausiai dar vienas Epica tomas · PATIKSLINTI",,,K02426,Lentynoje,,,,,,,,,2026-09-16 13:13:00,g@cool.lt,Fabula,3.0
2417.0,,(neįskaityta nugarėlė),,EN,,,ADVERTISING / PR,,,,,nugarėlė neįskaitoma · siaura kreminė nugarėlė be teksto · PATIKSLINTI,,,K02427,Lentynoje,,,,,,,,,2026-09-16 13:13:00,g@cool.lt,Fabula,4.0
2418.0,,(neįskaityta nugarėlė),,EN,,,PACKAGING,,,,,"nugarėlė neįskaitoma · plona oranžinė nugarėlė, Die Gestalten Verlag · PATIKSLINTI",,,K02428,Lentynoje,,,,,,,,,2026-09-16 13:13:00,g@cool.lt,Fabula,5.0
2419.0,,(neįskaityta nugarėlė),,EN,,,PACKAGING,,,,,"nugarėlė neįskaitoma · plona geltona nugarėlė, Die Gestalten Verlag · PATIKSLINTI",,,K02429,Lentynoje,,,,,,,,,2026-09-16 13:13:00,g@cool.lt,Fabula,5.0
2420.0,,(neįskaityta nugarėlė),,EN,,,LEADERSHIP AND MANAGEMENT LT,,,,,"nugarėlė neįskaitoma · siaura tamsiai mėlyna nugarėlė, tekstas neįskaitomas · PATIKSLINTI",,,K02430,Lentynoje,,,,,,,,,2026-09-16 13:13:00,g@cool.lt,Fabula,7.0
2421.0,,(neįskaityta nugarėlė),,EN,,,BUSINESS AND FINANCE / WEB,,,,,nugarėlė neįskaitoma · tamsiai mėlyna reljefinė nugarėlė be teksto · PATIKSLINTI,,,K02431,Lentynoje,,,,,,,,,2026-09-16 13:13:00,g@cool.lt,Fabula,8.0
2422.0,,(neįskaityta nugarėlė),,EN,,,LEADERSHIP AND IDEAS,,,,,"nugarėlė neįskaitoma · tamsi knyga antroje eilėje, nugarėlė uždengta · PATIKSLINTI",,,K02432,Lentynoje,,,,,,,,,2026-09-16 13:13:00,g@cool.lt,Fabula,9.0
2423.0,,(neįskaityta nugarėlė),,EN,,,LEADERSHIP AND IDEAS,,,,,"nugarėlė neįskaitoma · balta knyga antroje eilėje, nugarėlė uždengta · PATIKSLINTI",,,K02433,Lentynoje,,,,,,,,,2026-09-16 13:13:00,g@cool.lt,Fabula,9.0
2424.0,,(neįskaityta nugarėlė),,EN,,,MARKETING,,,,,"nugarėlė neįskaitoma · tamsi knyga, matyti tik RINKO... IŠ... · PATIKSLINTI",,,K02434,Lentynoje,,,,,,,,,2026-09-16 13:13:00,g@cool.lt,Fabula,10.0
2425.0,,(neįskaityta nugarėlė),,EN,,,MARKETING,,,,,"nugarėlė neįskaitoma · oranžinė knyga, ant nugarėlės tik hillandknowlton.com · PATIKSLINTI",,,K02435,Lentynoje,,,,,,,,,2026-09-16 13:13:00,g@cool.lt,Fabula,10.0
2426.0,,(neįskaityta nugarėlė),,EN,,,MARKETING,,,,,"nugarėlė neįskaitoma · raudona knyga antroje eilėje, matyti ...IMMUTABLE ...BRANDING · PATIKSLINTI",,,K02436,Lentynoje,,,,,,,,,2026-09-16 13:13:00,g@cool.lt,Fabula,10.0
2427.0,,(neįskaityta nugarėlė),,EN,,,MARKETING,,,,,"nugarėlė neįskaitoma · šviesi knyga krūvoje, nugarėlės nesimato · PATIKSLINTI",,,K02437,Lentynoje,,,,,,,,,2026-09-16 13:13:00,g@cool.lt,Fabula,10.0
2428.0,,(neįskaityta nugarėlė),,EN,,,LITHUANIA,,,,,"nugarėlė neįskaitoma · tamsiai žalia nugarėlė, užstota · PATIKSLINTI",,,K02438,Lentynoje,,,,,,,,,2026-09-16 13:13:00,g@cool.lt,Fabula,13.0
2429.0,,(neįskaityta nugarėlė),,EN,,,LITHUANIA,,,,,"nugarėlė neįskaitoma · LNM žemėlapio leidinys, pavadinimo ant nugarėlės nėra · PATIKSLINTI",,,K02439,Lentynoje,,,,,,,,,2026-09-16 13:13:00,g@cool.lt,Fabula,14.0
2430.0,,(neįskaityta nugarėlė),,EN,,,LITHUANIA,,,,,nugarėlė neįskaitoma · mėlyna fotoalbumo nugarėlė be teksto · PATIKSLINTI,,,K02440,Lentynoje,,,,,,,,,2026-09-16 13:13:00,g@cool.lt,Fabula,14.0
2431.0,,(neįskaityta nugarėlė),,EN,,,LITHUANIA,,,,,nugarėlė neįskaitoma · ryškiai raudona nugarėlė be teksto · PATIKSLINTI,,,K02441,Lentynoje,,,,,,,,,2026-09-16 13:13:00,g@cool.lt,Fabula,14.0
2432.0,,(neįskaityta nugarėlė),,EN,,,LITHUANIA,,,,,nugarėlė neįskaitoma · 3 plonos brošiūros be matomo teksto · PATIKSLINTI,,,K02442,Lentynoje,,,,,,,,,2026-09-16 13:13:00,g@cool.lt,Fabula,14.0
2433.0,,(neįskaityta nugarėlė),,EN,,,FICTION,,,,,"nugarėlė neįskaitoma · plona balta knyga, nugarėlėje teksto nėra · PATIKSLINTI",,,K02443,Lentynoje,,,,,,,,,2026-09-16 13:13:00,g@cool.lt,Fabula,15.0
2434.0,,(neįskaityta nugarėlė),,EN,,,FICTION,,,,,"nugarėlė neįskaitoma · balta knyga su piešiniais, teksto nėra · PATIKSLINTI",,,K02444,Lentynoje,,,,,,,,,2026-09-16 13:13:00,g@cool.lt,Fabula,15.0
2435.0,,(neįskaityta nugarėlė),,EN,,,FICTION,,,,,nugarėlė neįskaitoma · tamsiai raudona nugarėlė be teksto · PATIKSLINTI,,,K02445,Lentynoje,,,,,,,,,2026-09-16 13:13:00,g@cool.lt,Fabula,15.0
2436.0,,(neįskaityta nugarėlė),,EN,,,FICTION,,,,,nugarėlė neįskaitoma · knyga atsukta priekiniu kraštu · PATIKSLINTI,,,K02446,Lentynoje,,,,,,,,,2026-09-16 13:13:00,g@cool.lt,Fabula,15.0
2437.0,,(neįskaityta nugarėlė),,EN,,,FICTION,,,,,nugarėlė neįskaitoma · geltona apiplyšusi knyga be teksto · PATIKSLINTI,,,K02447,Lentynoje,,,,,,,,,2026-09-16 13:13:00,g@cool.lt,Fabula,15.0
2438.0,,(neįskaityta nugarėlė),,EN,,,FICTION,,,,,"nugarėlė neįskaitoma · rusvai raudona knyga be teksto, guli plokščiai · PATIKSLINTI",,,K02448,Lentynoje,,,,,,,,,2026-09-16 13:13:00,g@cool.lt,Fabula,15.0
2439.0,,(neįskaityta nugarėlė),,EN,,,,,,,,"nugarėlė neįskaitoma · mėlyna knyga, Versus Aureus, pavadinimas neįskaitomas · PATIKSLINTI",,,K02449,Lentynoje,,,,,,,,,2026-09-16 13:13:00,g@cool.lt,Fabula,17.0
2440.0,,(neįskaityta nugarėlė),,EN,,,,,,,,"nugarėlė neįskaitoma · smėlio spalvos minkštviršis, matomas tik nugarinis viršelis · PATIKSLINTI",,,K02450,Lentynoje,,,,,,,,,2026-09-16 13:13:00,g@cool.lt,Fabula,17.0
2441.0,,(neįskaityta nugarėlė),,EN,,,LITHUANIA,,,,,nugarėlė neįskaitoma · chaki drobinė knyga be teksto · PATIKSLINTI,,,K02451,Lentynoje,,,,,,,,,2026-09-16 13:13:00,g@cool.lt,Fabula,18.0
2442.0,,(neįskaityta nugarėlė),,EN,,,LITHUANIA,,,,,"nugarėlė neįskaitoma · trispalvė knyga, pavadinimo nematyti · PATIKSLINTI",,,K02452,Lentynoje,,,,,,,,,2026-09-16 13:13:00,g@cool.lt,Fabula,18.0
2443.0,,(neįskaityta nugarėlė),,EN,,,WORLDS HISTORY / LT NATURE,,,,,nugarėlė neįskaitoma · šviesiai žalia knyga be įskaitomo pavadinimo · PATIKSLINTI,,,K02453,Lentynoje,,,,,,,,,2026-09-16 13:13:00,g@cool.lt,Fabula,19.0
2444.0,,(neįskaityta nugarėlė),,EN,,,WORLDS HISTORY / LT NATURE,,,,,nugarėlė neįskaitoma · fotoalbumas be teksto ant nugarėlės · PATIKSLINTI,,,K02454,Lentynoje,,,,,,,,,2026-09-16 13:13:00,g@cool.lt,Fabula,19.0
2445.0,,(neįskaityta nugarėlė),,EN,,,WORLDS HISTORY / LT NATURE,,,,,"nugarėlė neįskaitoma · šviesiai žalia, Sveikatos..., guli plokščiai · PATIKSLINTI",,,K02455,Lentynoje,,,,,,,,,2026-09-16 13:13:00,g@cool.lt,Fabula,19.0
2446.0,,(neįskaityta nugarėlė),,EN,,,HEALTH AND SPORTS / FOOD AND DRINKS,,,,,"nugarėlė neįskaitoma · siaura juoda knyga, tekstas neįskaitomas · PATIKSLINTI",,,K02456,Lentynoje,,,,,,,,,2026-09-16 13:13:00,g@cool.lt,Fabula,20.0
2447.0,,(neįskaityta nugarėlė),,EN,,,HEALTH AND SPORTS / FOOD AND DRINKS,,,,,nugarėlė neįskaitoma · stora žalsva knyga be teksto · PATIKSLINTI,,,K02457,Lentynoje,,,,,,,,,2026-09-16 13:13:00,g@cool.lt,Fabula,20.0
2448.0,,(neįskaityta nugarėlė),,EN,,,HEALTH AND SPORTS / FOOD AND DRINKS,,,,,"nugarėlė neįskaitoma · juoda knyga, MAN... neįskaitoma · PATIKSLINTI",,,K02458,Lentynoje,,,,,,,,,2026-09-16 13:13:00,g@cool.lt,Fabula,20.0
2449.0,,(neįskaityta nugarėlė),,EN,,,,,,,,nugarėlė neįskaitoma · marmurinio rašto leidinys · PATIKSLINTI,,,K02459,Lentynoje,,,,,,,,,2026-09-16 13:13:00,g@cool.lt,Fabula,21.0
2450.0,,(neįskaityta nugarėlė),,EN,,,,,,,,"nugarėlė neįskaitoma · geltonas katalogas, pavadinimas neįskaitomas · PATIKSLINTI",,,K02460,Lentynoje,,,,,,,,,2026-09-16 13:13:00,g@cool.lt,Fabula,21.0
2451.0,,(neįskaityta nugarėlė),,EN,,,PHOTO ALBUMS,,,,,nugarėlė neįskaitoma · storas albumas atsuktas lapų pjūviu · PATIKSLINTI,,,K02461,Lentynoje,,,,,,,,,2026-09-16 13:13:00,g@cool.lt,Fabula,22.0
2452.0,,(neįskaityta nugarėlė),,EN,,,DICTIONARIES,,,,,nugarėlė neįskaitoma · vyšninė nugarėlė kadro krašte · PATIKSLINTI,,,K02462,Lentynoje,,,,,,,,,2026-09-16 13:13:00,g@cool.lt,Fabula,23.0
2453.0,,(neįskaityta nugarėlė),,EN,,,DICTIONARIES,,,,,"nugarėlė neįskaitoma · 5-6 plonų knygelių krūvelė, guli plokščiai · PATIKSLINTI",,,K02463,Lentynoje,,,,,,,,,2026-09-16 13:13:00,g@cool.lt,Fabula,23.0
2454.0,,(neįskaityta nugarėlė),,EN,,,,,,,,"nugarėlė neįskaitoma · balta knyga BRONZ..., pavadinimas nukirstas · PATIKSLINTI",,,K02464,Lentynoje,,,,,,,,,2026-09-16 13:13:00,g@cool.lt,Fabula,25.0
2458.0,Agatha Christie,Listerdeilo paslaptis,The Listerdale Mystery,Lietuvių,Sirokas,2012.0,Detektyvas,,,9786098057065.0,"Spinta I, 1 lentyna",Nr. 28,B14. Auksinio amžiaus detektyvas,Agatha Christie kolekcija,K02468,Lentynoje,,,,,,,,,2026-09-17 15:21:00,g@cool.lt,Paupio 2 aukštas,1.0
2460.0,Agatha Christie,Permaininga sėkmė,,LT,Sirokas,2008.0,,,,9789955740186.0,,,,,K02470,Lentynoje,,,,,,,,,2026-09-16 17:00:00,g@cool.lt,Paupio 2 aukštas,1.0
2462.0,Agatha Christie,The A.B.C. Murders,,EN,HarperCollins,1936.0,Detektyvas,Hercule Poirot,,,"Spinta I, 1 lentyna",pirmojo leidimo metai pagal OpenLibrary; konkretus turimo egzemplioriaus leidimas nenustatytas (142 leidimai),B14. Auksinio amžiaus detektyvas,Agatha Christie kolekcija,K02472,Lentynoje,,,,,,,,,2026-09-17 15:21:00,g@cool.lt,Paupio 2 aukštas,1.0
2466.0,Agatha Christie,Paskui ateina mirtis,,,Vaga,1995.0,,,,5415003444.0,,keli skelbimai; pasirinktas vienintelis su pilnais duomenimis,,,K02476,Lentynoje,,,,,,,,,2026-09-16 17:00:00,g@cool.lt,Paupio 2 aukštas,2.0
2467.0,Agatha Christie,Putojantis cianidas,,,Sirokas,2006.0,,,,9789955987079.0,,,,,K02477,Lentynoje,,,,,,,,,2026-09-16 17:00:00,g@cool.lt,Paupio 2 aukštas,2.0
2472.0,Agatha Christie,Žmogžudystė kotedže,,LT,,,,,,,,(2 egz.) · Ta pati knyga kaip ir įrašas 9; lietuviško leidimo tokiu pavadinimu rasti nepavyko,,,K02482,Lentynoje,,,,,,,,,2026-09-16 17:00:00,g@cool.lt,Paupio 2 aukštas,2.0
2479.0,Arthur Conan Doyle,Geriausios Šerloko Holmso ir daktaro Džono V. Vatsono istorijos. II tomas,,LT,Cced,2010.0,Detektyvas,Šerlokas Holmsas,,9786094031250.0,"Spinta I, 3 lentyna",,B14. Auksinio amžiaus detektyvas,Šerlokas Holmsas,K02489,Lentynoje,,,,,,,,,2026-09-17 15:21:00,g@cool.lt,Paupio 2 aukštas,3.0
2480.0,Arthur Conan Doyle,Geriausios Šerloko Holmso ir daktaro Džono V. Vatsono istorijos. I tomas,,LT,Cced,2010.0,,,,9786094031243.0,,"leidykla nurodyta pagal to paties leidimo II tomą (Cced, 2010)",,,K02490,Lentynoje,,,,,,,,,2026-09-16 17:00:00,g@cool.lt,Paupio 2 aukštas,3.0
2485.0,Douglas Adams,The Hitchhiker's Guide to the Galaxy. The Trilogy of Four,,EN,Pan,,Mokslinė fantastika,,,,"Spinta I, 7 lentyna (SF klasika)","Omnibusinis „The Trilogy of Four“ leidimas; OpenLibrary tikslaus atitikmens nerado, konkretus leidimas nenustatytas",B11. SF aukso amžius,★ pora: originalas + vertimas,K02495,Lentynoje,,,,,,,,,2026-09-17 15:21:00,g@cool.lt,Paupio 2 aukštas,5.0
2488.0,Žiulis Vernas,Kelionė į Žemės centrą,Voyage au centre de la Terre,LT,Alkos,1997.0,Nuotykių fantastika,,,9789955746485.0,"Spinta I, 7 lentyna (SF klasika)",keli lietuviški leidimai; pasirinktas sena.lt rastas leidimas,B11. SF aukso amžius,,K02498,Lentynoje,,,,,,,,,2026-09-17 15:21:00,g@cool.lt,Paupio 2 aukštas,5.0
2489.0,Žiulis Vernas,Dvidešimt tūkstančių mylių po vandeniu,Vingt mille lieues sous les mers,LT,Vaga,1981.0,Nuotykių fantastika,,,,"Spinta I, 7 lentyna (SF klasika)","keli lietuviški leidimai; pasirinktas sena.lt rastas leidimas, ISBN skelbime nenurodytas",B11. SF aukso amžius,,K02499,Lentynoje,,,,,,,,,2026-09-17 15:21:00,g@cool.lt,Paupio 2 aukštas,5.0
2490.0,Rėjus Bredberis,Pradžios pabaiga,,LT,,,,,,,,"rasti bent du lietuviški leidimai: Vaga 1982 ir Vyturys 1989 (ISBN 9785790003295) — kuris turimas, nenustatyta",,,K02500,Lentynoje,,,,,,,,,2026-09-16 17:00:00,g@cool.lt,Paupio 2 aukštas,6.0
2491.0,Arturas Klarkas,,,,,,,,,,,"juoda nugarėlė, matyti tik autoriaus vardas „ARTURAS KLARKAS"", pavadinimo nėra · PATIKSLINTI",,,K02501,Lentynoje,,,,,,,,,2026-09-16 17:00:00,g@cool.lt,Paupio 2 aukštas,6.0
2492.0,,(neįskaityta nugarėlė),,LT,,,,,,,,tamsiai ruda/juoda nugarėlė be jokio matomo teksto · PATIKSLINTI,,,K02502,Lentynoje,,,,,,,,,2026-09-16 17:00:00,g@cool.lt,Paupio 2 aukštas,6.0
2493.0,Isaac Asimov,The Martian Way and Other Stories,,EN,,1955.0,Mokslinė fantastika,,,,"Spinta I, 7 lentyna (SF klasika)",Fawcett Crest · pirmojo leidimo metai pagal OpenLibrary; konkretus turimo egzemplioriaus leidimas nenustatytas (28 leidimai),B11. SF aukso amžius,,K02503,Lentynoje,,,,,,,,,2026-09-17 15:21:00,g@cool.lt,Paupio 2 aukštas,6.0
2495.0,Igoris Rosochovatskis,Svečias,,LT,Vyturys,1988.0,,,,5790002587.0,,"patikslintas autoriaus vardas (ne Borisas, o Igoris Rosochovatskis)",,,K02505,Lentynoje,,,,,,,,,2026-09-16 17:00:00,g@cool.lt,Paupio 2 aukštas,6.0
2496.0,R. Bredberis,451° Farenheito,,,,,,,,,,"rasti bent du lietuviški leidimai: Vaga 1961 ir Jotema 2017 (ISBN 9789955137085) — kuris turimas, nenustatyta",,,K02506,Lentynoje,,,,,,,,,2026-09-16 17:00:00,g@cool.lt,Paupio 2 aukštas,6.0
2497.0,Sergejus Pavlovas,Mėnulio vaivorykštė,Лунная радуга,LT,Vyturys,1986.0,Mokslinė fantastika,,,,"Spinta I, 7 lentyna (SF klasika)",ISBN skelbime nenurodytas,B11. SF aukso amžius,,K02507,Lentynoje,,,,,,,,,2026-09-17 15:21:00,g@cool.lt,Paupio 2 aukštas,6.0
2499.0,Heineris Rankas,,,,,,,,,,,"kreminė audeklo nugarėlė, autorius įskaitomas kaip „Heineris Rankas"", pavadinimas nublukęs · PATIKSLINTI",,,K02509,Lentynoje,,,,,,,,,2026-09-16 17:00:00,g@cool.lt,Paupio 2 aukštas,7.0
2500.0,,Nuotykiniai užsienio rašytojų kūriniai,,LT,,,,,,,,"tamsiai mėlyna audeklo nugarėlė, serijos tomas · Ta pati serija kaip ir įrašas 33; konkretus tomas nenustatytas",,,K02510,Lentynoje,,,,,,,,,2026-09-16 17:00:00,g@cool.lt,Paupio 2 aukštas,7.0
2501.0,Simenon,,,,,,,,,,,"ant nugarėlės tik „SIMENON"" ir „TOMAS I"" · PATIKSLINTI",,,K02511,Lentynoje,,,,,,,,,2026-09-16 17:00:00,g@cool.lt,Paupio 2 aukštas,7.0
2502.0,А. Дюма,Записки полицейского,,RU,,,,,,,,"senas rusiškas leidimas, pavadinimas sunkiai įskaitomas · PATIKSLINTI",,,K02512,Lentynoje,,,,,,,,,2026-09-16 17:00:00,g@cool.lt,Paupio 2 aukštas,7.0
2503.0,Edgar Allan Poe,Six Tales of Fear,,EN,,,,,,,,A Ladder Edition · OpenLibrary tikslaus „Six Tales of Fear“ leidimo nerado; konkretus leidimas nenustatytas,,,K02513,Lentynoje,,,,,,,,,2026-09-16 17:00:00,g@cool.lt,Paupio 2 aukštas,7.0
2504.0,A. ir G. Vaineriai,"Aš, tardytojas... Miestą priėmiau...",,LT,,,,,,,,autorių inicialai neaiškūs · PATIKSLINTI,,,K02514,Lentynoje,,,,,,,,,2026-09-16 17:00:00,g@cool.lt,Paupio 2 aukštas,7.0
2505.0,,(neįskaityta nugarėlė),,LT,,,,,,,,"labai plona kreminė knygelė, nugarėlė be teksto · PATIKSLINTI",,,K02515,Lentynoje,,,,,,,,,2026-09-16 17:00:00,g@cool.lt,Paupio 2 aukštas,7.0
2506.0,,Nuotykiniai užsienio rašytojų kūriniai,,LT,,,,,,,,"pilkai melsva nugarėlė, kitas serijos tomas · Ta pati serija kaip ir įrašas 33; konkretus tomas nenustatytas",,,K02516,Lentynoje,,,,,,,,,2026-09-16 17:00:00,g@cool.lt,Paupio 2 aukštas,7.0
2507.0,Julian Barnes,The Noise of Time,,EN,,2016.0,,,,,,Vintage · pirmojo leidimo metai pagal OpenLibrary; konkretus turimo egzemplioriaus leidimas nenustatytas (Jonathan Cape / Knopf / Vintage),,,K02517,Lentynoje,,,,,,,,,2026-09-16 17:00:00,g@cool.lt,Paupio 2 aukštas,7.0
2509.0,Georges Simenon,Act of Passion,,EN,,,,,,,,"Penguin · angliškas „Lettre à mon juge“ vertimas; OpenLibrary rodo 23 leidimus, konkretus nenustatytas",,,K02519,Lentynoje,,,,,,,,,2026-09-16 17:00:00,g@cool.lt,Paupio 2 aukštas,7.0
2510.0,Vaidotas Januškis,Tikėtina,,LT,Didakta,2018.0,,,,,,Didakta · ISBN skelbime nenurodytas,,,K02520,Lentynoje,,,,,,,,,2026-09-16 17:00:00,g@cool.lt,Paupio 2 aukštas,8.0
2511.0,Vaidotas Januškis,Neįtikėtina,,LT,,,Publicistika,,,9786094420719.0,"Spinta I, 12 lentyna (Castaneda, Simenon)","Didakta · sena.lt nurodo leidyklą „K. šviesa“ ir 2008 m., tačiau ISBN 978-609 prefiksas rodo vėlesnį leidimą — metai nerašomi",F33. Geopolitika ir publicistika,,K02521,Lentynoje,,,,,,,,,2026-09-17 15:21:00,g@cool.lt,Paupio 2 aukštas,8.0
2512.0,Vaidotas Januškis,Neįtikėtina,,LT,,,,,,9786094420719.0,,"Šviesa · tas pats leidinys kaip ir įrašas 57; metai prieštaringi, todėl nerašomi",,,K02522,Lentynoje,,,,,,,,,2026-09-16 17:00:00,g@cool.lt,Paupio 2 aukštas,8.0
2513.0,Amy Wallace,Aprendiza de bruja,,,La Liebre de Marzo,2011.0,,,,,,ispanų k. · ispaniškas leidimas; ISBN OpenLibrary nepateikia,,,K02523,Lentynoje,,,,,,,,,2026-09-16 17:00:00,g@cool.lt,Paupio 2 aukštas,8.0
2515.0,Рудольф Штайнер,Основные черты социального вопроса в жизненных необходимостях настоящего и будущего,,RU,Ной,1992.0,,,,5807902645.0,,duomenys iš bukinistinio skelbimo; kitų leidimų nerasta,,,K02525,Lentynoje,,,,,,,,,2026-09-16 17:00:00,g@cool.lt,Paupio 2 aukštas,8.0
2516.0,,(neįskaityta nugarėlė),,LT,,,,,,,,"stipriai apiręs senas įrišimas, nugarėlė suplyšusi, teksto nematyti · PATIKSLINTI",,,K02526,Lentynoje,,,,,,,,,2026-09-16 17:00:00,g@cool.lt,Paupio 2 aukštas,8.0
2517.0,Рудольф Штайнер,Очерк тайноведения,,RU,,,,,,,,"„Очерк тайноведения“ turi daug rusiškų leidimų (pvz., Ключи, Sankt Peterburgas, 2018) — konkretus nenustatytas",,,K02527,Lentynoje,,,,,,,,,2026-09-16 17:00:00,g@cool.lt,Paupio 2 aukštas,8.0
2518.0,А. Ч. Бхактиведанта Свами Прабхупада,Вне времени и пространства,,RU,,,,,,,,pirmasis žodis iš dalies uždengtas kaimyninės knygos · PATIKSLINTI,,,K02528,Lentynoje,,,,,,,,,2026-09-16 17:00:00,g@cool.lt,Paupio 2 aukštas,8.0
2519.0,,(neįskaityta nugarėlė),,LT,,,,,,,,"plona brošiūra, purpurinė/rausva nugarėlė be teksto · PATIKSLINTI",,,K02529,Lentynoje,,,,,,,,,2026-09-16 17:00:00,g@cool.lt,Paupio 2 aukštas,8.0
2520.0,,(neįskaityta nugarėlė),,LT,,,,,,,,"plona brošiūra, kreminė nugarėlė be teksto · PATIKSLINTI",,,K02530,Lentynoje,,,,,,,,,2026-09-16 17:00:00,g@cool.lt,Paupio 2 aukštas,8.0
2521.0,,(neįskaityta nugarėlė),,LT,,,,,,,,"plona brošiūra, žalsvai melsva nugarėlė be teksto · PATIKSLINTI",,,K02531,Lentynoje,,,,,,,,,2026-09-16 17:00:00,g@cool.lt,Paupio 2 aukštas,8.0
2522.0,,(neįskaityta nugarėlė),,LT,,,,,,,,"plona brošiūra, balta nugarėlė be teksto · PATIKSLINTI",,,K02532,Lentynoje,,,,,,,,,2026-09-16 17:00:00,g@cool.lt,Paupio 2 aukštas,8.0
2523.0,,(neįskaityta nugarėlė),,LT,,,,,,,,"plona brošiūra, tamsiai raudona nugarėlė be teksto · PATIKSLINTI",,,K02533,Lentynoje,,,,,,,,,2026-09-16 17:00:00,g@cool.lt,Paupio 2 aukštas,8.0
2524.0,,(neįskaityta nugarėlė),,LT,,,,,,,,"plona brošiūra, rožinė nugarėlė be teksto · PATIKSLINTI",,,K02534,Lentynoje,,,,,,,,,2026-09-16 17:00:00,g@cool.lt,Paupio 2 aukštas,8.0
2525.0,,(neįskaityta nugarėlė),,LT,,,,,,,,"plona brošiūra, melsvai žalsva nugarėlė be teksto · PATIKSLINTI",,,K02535,Lentynoje,,,,,,,,,2026-09-16 17:00:00,g@cool.lt,Paupio 2 aukštas,8.0
2526.0,Carlos Castaneda,The Teachings of Don Juan: A Yaqui Way of Knowledge,,EN,,1968.0,,,,,,pirmojo leidimo metai pagal OpenLibrary; konkretus turimo egzemplioriaus leidimas nenustatytas (31 leidimas),,,K02536,Lentynoje,,,,,,,,,2026-09-16 17:00:00,g@cool.lt,Paupio 2 aukštas,9.0
2527.0,Карлос Кастанеда,2026-09-11 00:00:00,,RU,,,,,,,,"tomai 9-11 · Sudėtiniai К. Кастанеда „Сочинения“ tomai; tikėtina leidykla „София“, bet konkretus leidimas ir ISBN nenustatyti",,,K02537,Lentynoje,,,,,,,,,2026-09-16 17:00:00,g@cool.lt,Paupio 2 aukštas,9.0
2528.0,Карлос Кастанеда,2026-01-04 00:00:00,,RU,,,,,,,,"tomai 1-4 · Sudėtiniai К. Кастанеда „Сочинения“ tomai; tikėtina leidykla „София“, bet konkretus leidimas ir ISBN nenustatyti",,,K02538,Lentynoje,,,,,,,,,2026-09-16 17:00:00,g@cool.lt,Paupio 2 aukštas,9.0
